person_id,name,genres,imdb_score
12790,Olivia Hack,action,9.3
86591,Cricket Leigh,action,9.3
336830,André Sogliuzzo,action,9.3
21033,Zach Tyler,action,9.3
1303,Jessie Flower,action,9.3
21033,Zach Tyler,animation,9.3
86591,Cricket Leigh,animation,9.3
336830,André Sogliuzzo,animation,9.3
28024,Dante Basco,animation,9.3
1303,Jessie Flower,animation,9.3
101292,Ryu Hye-young,comedy,9.2
38441,Park Bo-gum,comedy,9.2
140194,Ryu Jun-yeol,comedy,9.2
747462,Kim Seol,comedy,9.2
103374,Lee Hye-ri,comedy,9.2
44199,Kim Sung-kyun,comedy,9.2
71076,Ra Mi-ran,comedy,9.2
1296454,Lee Se-young,comedy,9.2
140196,Ahn Jae-hong,comedy,9.2
37752,Anna Gunn,crime,9.5
20552,Betsy Brandt,crime,9.5
85485,RJ Mitte,crime,9.5
22385,Michael Jordan,documentation,9.1
408553,Phil Jackson,documentation,9.1
439923,Steve Kerr,documentation,9.1
36303,Dennis Rodman,documentation,9.1
479703,Scottie Pippen,documentation,9.1
20552,Betsy Brandt,drama,9.5
37752,Anna Gunn,drama,9.5
86802,Ford Kiernan,european,8.9
107380,Mark Cox,european,8.9
170376,Greg Hemphill,european,8.9
727787,Paul Riley,european,8.9
107375,Sanjeev Kohli,european,8.9
727786,Jane McCarry,european,8.9
317847,Gavin Mitchell,european,8.9
28024,Dante Basco,family,9.3
1303,Jessie Flower,family,9.3
336830,André Sogliuzzo,family,9.3
21033,Zach Tyler,family,9.3
86591,Cricket Leigh,family,9.3
1303,Jessie Flower,fantasy,9.3
86591,Cricket Leigh,fantasy,9.3
28024,Dante Basco,fantasy,9.3
21033,Zach Tyler,fantasy,9.3
336830,André Sogliuzzo,fantasy,9.3
408553,Phil Jackson,history,9.1
439923,Steve Kerr,history,9.1
22385,Michael Jordan,history,9.1
479703,Scottie Pippen,history,9.1
36303,Dennis Rodman,history,9.1
39331,Marina Inoue,horror,9.0
86694,Yui Ishikawa,horror,9.0
140,Ayane Sakura,horror,9.0
453970,Kisho Taniyama,horror,9.0
1033815,Adam Cole,music,8.8
27692,Alex Lombard,music,8.8
85756,Jack Murray,music,8.8
231310,Natasha Beaumont,music,8.8
82056,Carl Gilliard,music,8.8
1789502,Jill Maddrell,music,8.8
5811,Andrew Pleavin,music,8.8
77469,Peter Basham,music,8.8
2740,Michael Gaston,music,8.8
392464,Felix Scott,music,8.8
1284975,Lisa Reynolds,music,8.8
301776,Shannon Welles,music,8.8
2269290,Daniel Girondeaud,music,8.8
1625708,Mark Fleischmann,music,8.8
14204,Nicole Pulliam,music,8.8
984023,Helena Cullinan,music,8.8
351508,Jean-Michel Dagory,music,8.8
984016,Tai-Li Lee,music,8.8
1652,Lukas Haas,music,8.8
1641,Leonardo DiCaprio,music,8.8
3010,Joseph Gordon-Levitt,music,8.8
984017,Magnus Nolan,music,8.8
3011,Ken Watanabe,music,8.8
1640,Tom Hardy,music,8.8
2806,Elliot Page,music,8.8
3013,Dileep Rao,music,8.8
3012,Cillian Murphy,music,8.8
3015,Tom Berenger,music,8.8
3014,Marion Cotillard,music,8.8
3016,Pete Postlethwaite,music,8.8
2150,Talulah Riley,music,8.8
1710,Russ Fega,music,8.8
16641,Taylor Geare,music,8.8
77136,Tohoru Masamune,music,8.8
351507,Nicolas Clerc,music,8.8
294917,Marc Raducci,music,8.8
351506,Coralie Dedykere,music,8.8
4726,Tim Kelleher,music,8.8
91220,Silvie Laguna,music,8.8
351505,Ryan Hayward,music,8.8
84050,Earl Cameron,music,8.8
46263,Yuji Okumoto,music,8.8
351504,Johnathan Geare,music,8.8
52379,Claire Geare,music,8.8
77040,Miranda Nolan,music,8.8
129032,Virgile Bramly,music,8.8
843741,Jayde Adams,reality,8.9
614,Heston Blumenthal,reality,8.9
958249,Carla Hall,reality,8.9
1099510,Niklas Ekstedt,reality,8.9
747462,Kim Seol,romance,9.2
1296454,Lee Se-young,romance,9.2
71076,Ra Mi-ran,romance,9.2
44199,Kim Sung-kyun,romance,9.2
140195,Lee Dong-hwi,romance,9.2
101292,Ryu Hye-young,romance,9.2
140194,Ryu Jun-yeol,romance,9.2
103374,Lee Hye-ri,romance,9.2
103760,Sung Dong-il,romance,9.2
140196,Ahn Jae-hong,romance,9.2
336830,André Sogliuzzo,scifi,9.3
21033,Zach Tyler,scifi,9.3
28024,Dante Basco,scifi,9.3
1303,Jessie Flower,scifi,9.3
86591,Cricket Leigh,scifi,9.3
12790,Olivia Hack,scifi,9.3
439923,Steve Kerr,sport,9.1
479703,Scottie Pippen,sport,9.1
22385,Michael Jordan,sport,9.1
408553,Phil Jackson,sport,9.1
36303,Dennis Rodman,sport,9.1
20552,Betsy Brandt,thriller,9.5
13233,Bob Odenkirk,thriller,9.5
37752,Anna Gunn,thriller,9.5
826547,Yuto Uemura,war,8.8
47019,Kensho Ono,war,8.8
140181,Naoya Uchida,war,8.8
93017,Aoi Tada,western,8.9
28166,Megumi Hayashibara,western,8.9
28180,Unsho Ishizuka,western,8.9
22311,Koichi Yamadera,western,8.9
